=== FAST IMPACT LAB ===  (51 purchased item groups, wall 118s)
Single-baseline observational model: it does NOT replay the game per item. It compares local before/after windows around each purchase, then adds cycle-speedup signals for meta effects.
Use it for balance direction: strong / weak / late / gate. Keep exact ablation only for suspicious edge cases.
Horizon: 3 prestige(s), seed 12345, window 120 runs before/after.
Baseline reached: 20:32:04 (8 000 runs, 1 prestiges, stop run cap).
PPO first unlocked: 8:54:28.
Run replay cache: 0 hits / 7 993 misses / 7 993 stored deterministic runs.

Item                            Role            Spent  Buy#     First   Cover   Direct Driver             Income    Score    High    Cycle  Payback  Verdict
Upgrade.PassiveYield            Economy          7,9M    19   0:26:59     98% +9299900% passive +929990…  +676,7%  +178,4%      2x        —     0,5x  STRONG
Unlock.AutoSolve                Gate             2,4K     2   0:20:23     98% +49282,7% output +49282,7% +2945,1%  +362,8%      8x        —  1617,0x  GATE
Upgrade.Speed                   Throughput      11,6M    19   0:31:38     97%   +4550% output +4550%     +378,6%  +105,1%      1x        —     0,4x  STRONG
Unlock.AgentsMenu               Gate             240K     2   6:39:36     68%   +2400% output +2400%       +565%    +2,3%      1x        —   308,2x  STRONG
Upgrade.PassiveTickRate         Economy          9,4M    19   0:33:38     97% +2513,3% passive +2513,3%  +311,3%   +88,3%      1x        —     0,4x  STRONG
Solver.RAND                     Solver             2K     2   0:09:17     99%      +0% output +0%       +1850,8%  +297,8%      8x        —  1227,8x  STRONG
Solver.MERG                     Solver             6K     2   0:23:37     98%   -45,9% throughput -45,… +1644,7%  +428,9%      4x        —   727,7x  STRONG
Unlock.AutoRestart              Gate              16K     2   0:35:27     97%      +0% output +0%        +252,4%     +72%      1x        —   236,7x  GATE
Unlock.ModifiersMenu            Gate               3M     1   8:46:19     57%    +380% income +380%       -13,5%  +277,8%      4x        —        —  GATE
Unlock.SolverTuning             Gate              60K     2   1:43:58     92%      +0% output +0%         +44,6%   +23,7%      1x        —    38,5x  GATE
Upgrade.ScalingFrequency        Gate            24,7M    17   5:59:28     71%  +180,8% output +180,8%      +4,8%    +3,9%      2x        —     0,0x  GATE
Upgrade.ChipYield               Economy         26,6M    17   0:25:24     98%  +532,8% income +532,8%   +1010,1%  +248,3%      2x        —     0,2x  STRONG
Upgrade.ActiveMultiplier        Economy            8M    19   0:28:10     98%    +740% passive +740%     +561,1%  +151,7%      2x        —     0,5x  STRONG
