=== FAST IMPACT LAB ===  (51 purchased item groups, wall 121s)
Single-baseline observational model: it does NOT replay the game per item. It compares local before/after windows around each purchase, then adds cycle-speedup signals for meta effects.
Use it for balance direction: strong / weak / late / gate. Keep exact ablation only for suspicious edge cases.
Horizon: 3 prestige(s), seed 12345, window 120 runs before/after.
Baseline reached: 20:21:27 (8 000 runs, 1 prestiges, stop run cap).
PPO first unlocked: 8:47:24.
Run replay cache: 0 hits / 7 993 misses / 7 993 stored deterministic runs.

Item                            Role            Spent  Buy#     First   Cover   Direct Driver             Income    Score    High    Cycle  Payback  Verdict
Upgrade.PassiveYield            Economy         10,3M    20   0:26:59     98% +15999900% passive +159999…  +676,7%  +178,4%      2x        —     0,4x  STRONG
Unlock.AutoSolve                Gate             2,4K     2   0:20:23     98% +49282,7% output +49282,7% +2945,1%  +362,8%      8x        —  1602,8x  GATE
Upgrade.Speed                   Throughput      11,6M    19   0:31:38     97%   +4550% output +4550%     +378,6%  +105,1%      1x        —     0,4x  STRONG
Upgrade.PassiveTickRate         Economy         12,2M    20   0:33:38     97%   +3036% passive +3036%    +311,8%   +88,8%      1x        —     0,3x  STRONG
Unlock.AgentsMenu               Gate             240K     2   6:35:44     68%   +2400% output +2400%       +553%    +0,4%      1x        —   299,3x  STRONG
Solver.RAND                     Solver             2K     2   0:09:17     99%      +0% output +0%       +1850,8%  +297,8%      8x        —  1217,2x  STRONG
Solver.MERG                     Solver             6K     2   0:23:37     98%   -45,9% throughput -45,… +1644,7%  +428,9%      4x        —   721,3x  STRONG
Unlock.AutoRestart              Gate              16K     2   0:35:27     97%      +0% output +0%        +261,2%   +79,8%      1x        —   242,8x  GATE
Unlock.ModifiersMenu            Gate               3M     1   8:39:40     57%    +380% output +380%        -7,7%  +261,4%      4x        —        —  GATE
Unlock.ExtraAgentSlot           Gate               3M     2   7:53:33     61%      +0% output +0%         +32,9%    +7,5%      2x        —    35,6x  GATE
Upgrade.StackCapacity           Gate            16,4M     9   0:47:45     96%    +260% output +260%       +21,3%   +34,9%      1x        —     0,1x  GATE
Upgrade.ScalingFrequency        Gate            24,7M    17   5:55:24     71%  +180,8% board +180,8%         +5%    +2,5%      2x        —     0,0x  GATE
Upgrade.ChipYield               Economy           29M    18   0:25:24     98%  +583,2% income +583,2%   +1010,1%  +248,3%      2x        —     0,1x  STRONG
Upgrade.ActiveMultiplier        Economy         10,5M    20   0:28:10     98%    +800% passive +800%     +561,1%  +151,7%      2x        —     0,4x  STRONG
Agent.Quartermaster             Agent            120K     2   6:36:29     68%   +16,6% output +16,6%     +470,2%    -0,5%      1x        —   585,9x  STRONG
Solver.BAL                      Solver            12K     2   0:29:58     98%      +0% output +0%        +442,8%  +122,1%      2x        —   351,2x  STRONG
Agent.Restart Sponsor           Agent            240K     2   6:38:49     67%   +10,3% agent +10,3%      +288,1%    -2,2%      1x        —   270,2x  STRONG
Solver.PLAN-3                   Solver           260K     2   6:40:46     67%  +110,7% solver +110,7%    +194,3%    -6,4%      1x        —   229,6x  STRONG
Upgrade.Difficulty              Gate            11,3M     9   3:09:18     85%  +408,8% board +408,8%       -2,3%   -13,1%      1x        —        —  STRONG
Research.Seed Capital           Meta               1i     1  12:06:26     41%      +0% output +0%         -99,9%   -92,8%    0,1x        —        —  STRONG
Solver.COMBO                    Solver           360K     2   6:47:56     67%   +36,8% output +36,8%        +94%   -16,7%      2x        —   142,4x  STRONG
Solver.STALL                    Solver            36K     2   0:56:42     95%    +125% solver +125%        +5,2%   +31,3%      1x        —     7,7x  STRONG
Solver.HEUR                     Solver            60K     2   1:30:54     93%   +63,8% throughput +63,…   +42,3%    -4,3%      1x        —    38,2x  STRONG
